"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","27-Oct-2019","        720.95","        723.00","        737.40","        718.50","        735.00","        726.75","        726.08","     194215","           141016479.50","       4190","      49980","         25.73"
"TECHM","EQ","29-Oct-2019","        726.75","        728.00","        763.00","        725.10","        754.30","        754.75","        746.45","    3292048","          2457338967.90","      56555","    1295605","         39.36"
"TECHM","EQ","30-Oct-2019","        754.75","        762.00","        764.80","        745.55","        754.20","        754.40","        753.91","    2232609","          1683192245.05","      44427","     889833","         39.86"
"TECHM","EQ","31-Oct-2019","        754.40","        754.95","        759.35","        736.60","        739.00","        739.00","        743.93","    4178139","          3108223612.00","      89453","    2702915","         64.69"
"TECHM","EQ","01-Nov-2019","        739.00","        740.90","        764.00","        740.00","        758.25","        760.45","        754.29","    4136257","          3119942024.30","      81952","    2206438","         53.34"
"TECHM","EQ","04-Nov-2019","        760.45","        760.45","        777.60","        753.45","        769.35","        769.50","        767.43","    4936914","          3788725395.90","     121621","    2253548","         45.65"
"TECHM","EQ","05-Nov-2019","        769.50","        772.00","        775.55","        764.80","        774.50","        773.25","        770.83","    3303839","          2546688951.05","      59162","    1565668","         47.39"
"TECHM","EQ","06-Nov-2019","        773.25","        784.00","        784.00","        767.60","        769.60","        771.90","        775.25","    9486591","          7354464954.90","     150118","    4431865","         46.72"
"TECHM","EQ","07-Nov-2019","        771.90","        775.00","        775.00","        765.05","        770.65","        769.70","        770.21","    2060900","          1587326686.35","      53305","    1115080","         54.11"
"TECHM","EQ","08-Nov-2019","        769.70","        772.00","        777.85","        770.30","        772.00","        771.35","        772.66","    2368591","          1830104805.15","      47466","    1709665","         72.18"
"TECHM","EQ","11-Nov-2019","        771.35","        769.95","        774.50","        768.05","        769.00","        770.40","        771.16","    1345883","          1037891133.55","      30246","     774670","         57.56"
"TECHM","EQ","13-Nov-2019","        770.40","        768.00","        773.80","        746.00","        754.05","        757.05","        759.99","    2434874","          1850481218.25","      31756","    1216695","         49.97"
"TECHM","EQ","14-Nov-2019","        757.05","        756.00","        763.50","        748.30","        760.90","        758.35","        755.75","    2564424","          1938070010.60","      83610","    1406786","         54.86"
"TECHM","EQ","15-Nov-2019","        758.35","        758.35","        763.25","        749.30","        752.40","        751.95","        755.09","    1787358","          1349613762.50","      25176","    1134715","         63.49"
"TECHM","EQ","18-Nov-2019","        751.95","        752.00","        758.30","        747.50","        753.10","        751.80","        752.60","    2216434","          1668092169.80","      79112","    1431421","         64.58"
"TECHM","EQ","19-Nov-2019","        751.80","        754.00","        766.00","        752.00","        763.25","        763.15","        762.97","    2725437","          2079413589.50","      68836","    1733375","         63.60"
"TECHM","EQ","20-Nov-2019","        763.15","        764.90","        773.00","        755.95","        771.40","        771.40","        765.68","    2343750","          1794570065.80","      50886","    1454080","         62.04"
"TECHM","EQ","21-Nov-2019","        771.40","        775.00","        780.00","        762.80","        765.00","        765.15","        770.43","    2102137","          1619547659.75","      78362","    1126309","         53.58"
"TECHM","EQ","22-Nov-2019","        765.15","        765.00","        765.00","        742.80","        753.10","        754.20","        750.01","    1819912","          1364949259.65","      51839","     734250","         40.35"
"TECHM","EQ","25-Nov-2019","        754.20","        754.20","        765.70","        750.85","        764.00","        763.55","        762.72","    1837243","          1401299327.00","      82762","    1112250","         60.54"
"TECHM","EQ","26-Nov-2019","        763.55","        766.00","        767.85","        756.30","        757.80","        763.60","        763.38","    2968850","          2266360522.75","      63202","    1485063","         50.02"
"TECHM","EQ","27-Nov-2019","        763.60","        762.85","        769.55","        757.35","        768.00","        767.55","        764.47","    1369944","          1047282875.75","      46728","     771501","         56.32"
"TECHM","EQ","28-Nov-2019","        767.55","        765.15","        772.10","        762.00","        763.45","        766.25","        767.67","    1096867","           842027464.00","      47121","     598518","         54.57"
"TECHM","EQ","29-Nov-2019","        766.25","        766.00","        772.35","        758.40","        760.00","        761.45","        764.59","    1236902","           945724883.70","      31803","     677500","         54.77"
"TECHM","EQ","02-Dec-2019","        761.45","        758.10","        759.90","        732.30","        745.55","        748.45","        740.90","    4333335","          3210560838.25","     103882","    1813434","         41.85"
"TECHM","EQ","03-Dec-2019","        748.45","        748.05","        756.70","        743.30","        746.00","        746.25","        750.63","    1838085","          1379716051.95","      46272","     766080","         41.68"
"TECHM","EQ","04-Dec-2019","        746.25","        746.90","        761.50","        743.55","        758.00","        758.80","        755.83","    1870954","          1414123541.85","      70737","    1163058","         62.16"
"TECHM","EQ","05-Dec-2019","        758.80","        755.00","        766.75","        752.10","        763.20","        764.90","        763.73","    2475102","          1890308976.25","      69198","    1660873","         67.10"
"TECHM","EQ","06-Dec-2019","        764.90","        763.20","        771.35","        755.55","        758.00","        757.50","        763.82","    1092422","           834414201.45","      34308","     404503","         37.03"
"TECHM","EQ","09-Dec-2019","        757.50","        759.45","        759.45","        746.50","        751.00","        750.35","        751.52","    1435556","          1078853549.35","      36008","     689493","         48.03"
"TECHM","EQ","10-Dec-2019","        750.35","        749.95","        749.95","        737.30","        744.90","        744.95","        742.24","    1582428","          1174548270.05","      55128","     633863","         40.06"
"TECHM","EQ","11-Dec-2019","        744.95","        741.00","        760.00","        741.00","        759.00","        757.95","        755.21","    1644499","          1241946718.00","      54932","     807624","         49.11"
"TECHM","EQ","12-Dec-2019","        757.95","        761.00","        766.00","        752.50","        753.15","        756.45","        760.61","    1184008","           900570962.05","      65319","     550180","         46.47"
"TECHM","EQ","13-Dec-2019","        756.45","        758.95","        763.95","        748.25","        759.60","        761.85","        756.19","    2019424","          1527067731.95","      49584","    1048591","         51.93"
"TECHM","EQ","16-Dec-2019","        761.85","        762.70","        784.00","        759.00","        774.50","        773.30","        776.68","    5810893","          4513221405.60","      93819","    2316293","         39.86"
"TECHM","EQ","17-Dec-2019","        773.30","        775.55","        782.00","        772.60","        778.70","        777.35","        777.55","    2421510","          1882842810.15","      80528","    1095904","         45.26"
"TECHM","EQ","18-Dec-2019","        777.35","        780.10","        794.00","        780.10","        789.00","        786.65","        786.97","    5676894","          4467550764.50","     117473","    2769968","         48.79"
"TECHM","EQ","19-Dec-2019","        786.65","        790.00","        790.00","        778.10","        781.00","        782.75","        782.57","    2099931","          1643345390.80","      50138","    1301355","         61.97"
"TECHM","EQ","20-Dec-2019","        782.75","        784.05","        787.70","        778.00","        783.00","        783.35","        782.42","    2092547","          1637256931.05","      72928","    1449167","         69.25"
"TECHM","EQ","23-Dec-2019","        783.35","        778.60","        787.40","        774.95","        775.35","        775.95","        778.81","    1887292","          1469839267.90","      44851","    1341821","         71.10"
"TECHM","EQ","24-Dec-2019","        775.95","        776.00","        777.95","        767.60","        770.95","        772.05","        771.47","    1413973","          1090841316.30","      34545","     618746","         43.76"
"TECHM","EQ","26-Dec-2019","        772.05","        771.00","        779.05","        768.05","        772.00","        770.40","        774.04","    1276520","           988080734.45","      33394","     244985","         19.19"
"TECHM","EQ","27-Dec-2019","        770.40","        771.00","        781.40","        769.10","        781.20","        780.20","        777.37","    1363474","          1059918239.75","      29682","     724379","         53.13"
"TECHM","EQ","30-Dec-2019","        780.20","        782.70","        784.85","        779.10","        781.55","        782.70","        782.67","    1055528","           826133202.95","      26987","     662921","         62.80"
"TECHM","EQ","31-Dec-2019","        782.70","        780.05","        780.95","        760.00","        761.20","        762.30","        766.52","    3004887","          2303320752.95","      53341","     633281","         21.08"
"TECHM","EQ","01-Jan-2020","        762.30","        766.00","        766.80","        760.35","        761.90","        762.10","        763.39","     746371","           569775063.25","      17126","     147395","         19.75"
"TECHM","EQ","02-Jan-2020","        762.10","        762.10","        769.15","        761.00","        766.00","        766.05","        766.33","    1133488","           868629849.90","      50776","     518229","         45.72"
"TECHM","EQ","03-Jan-2020","        766.05","        766.00","        779.90","        763.55","        775.00","        775.10","        775.14","    2121704","          1644607528.20","      54537","     881327","         41.54"
"TECHM","EQ","06-Jan-2020","        775.10","        774.85","        778.80","        768.15","        769.00","        770.40","        773.70","    1734439","          1341937267.05","      52469","     840496","         48.46"
"TECHM","EQ","07-Jan-2020","        770.40","        770.00","        778.50","        760.60","        776.65","        777.10","        770.90","    1937143","          1493338619.15","      36396","     725429","         37.45"
"TECHM","EQ","08-Jan-2020","        777.10","        770.10","        784.90","        767.10","        768.10","        769.80","        776.33","    2596664","          2015873635.75","      56014","     981759","         37.81"
"TECHM","EQ","09-Jan-2020","        769.80","        770.50","        776.45","        762.20","        774.00","        773.65","        770.18","    1678891","          1293041412.05","      49933","     626300","         37.30"
"TECHM","EQ","10-Jan-2020","        773.65","        779.00","        781.90","        772.45","        778.95","        776.25","        776.70","    1105725","           858811903.65","      35828","     502460","         45.44"
"TECHM","EQ","13-Jan-2020","        776.25","        779.90","        788.70","        775.05","        786.00","        785.85","        784.79","    1393509","          1093614874.65","      26980","     523121","         37.54"
"TECHM","EQ","14-Jan-2020","        785.85","        785.85","        797.80","        783.70","        796.30","        796.25","        790.88","    1628535","          1287971903.60","      53736","     830392","         50.99"
"TECHM","EQ","15-Jan-2020","        796.25","        796.15","        803.65","        788.50","        791.60","        795.15","        796.05","    1759644","          1400763787.10","      44354","     705203","         40.08"
"TECHM","EQ","16-Jan-2020","        795.15","        793.00","        795.70","        781.10","        784.00","        782.85","        785.33","    1110008","           871717406.85","      53657","     442760","         39.89"
"TECHM","EQ","17-Jan-2020","        782.85","        783.50","        786.75","        775.50","        778.05","        778.45","        780.14","     989312","           771805387.35","      49622","     490715","         49.60"
"TECHM","EQ","20-Jan-2020","        778.45","        778.50","        785.45","        774.55","        780.00","        778.20","        779.94","    1620105","          1263588653.90","      52213","     975138","         60.19"
"TECHM","EQ","21-Jan-2020","        778.20","        777.25","        783.40","        775.00","        779.50","        778.90","        779.20","     976954","           761243503.15","      54605","     433814","         44.40"
"TECHM","EQ","22-Jan-2020","        778.90","        780.00","        790.45","        776.20","        778.55","        778.75","        781.75","    1192201","           932006704.35","      42351","     512037","         42.95"
"TECHM","EQ","23-Jan-2020","        778.75","        777.25","        780.45","        766.90","        769.50","        768.95","        771.39","    2018777","          1557260996.85","      82067","    1289079","         63.85"
"TECHM","EQ","24-Jan-2020","        768.95","        765.10","        788.75","        763.30","        786.90","        787.30","        777.05","    2364265","          1837162288.25","      76417","    1348773","         57.05"
"TECHM","EQ","27-Jan-2020","        787.30","        786.00","        796.25","        779.65","        792.10","        791.50","        790.45","    1175606","           929252238.20","      26671","     397423","         33.81"
"TECHM","EQ","28-Jan-2020","        791.50","        792.50","        795.75","        784.60","        794.70","        794.25","        791.36","    1506685","          1192332300.20","      61577","     738077","         48.99"
"TECHM","EQ","29-Jan-2020","        794.25","        796.90","        807.20","        793.55","        803.75","        804.15","        802.33","    2565136","          2058091994.60","     122141","    1158240","         45.15"
"TECHM","EQ","30-Jan-2020","        804.15","        805.60","        807.95","        784.00","        794.50","        791.35","        792.84","    2493688","          1977092054.85","      70718","    1391962","         55.82"
"TECHM","EQ","31-Jan-2020","        791.35","        796.85","        802.50","        783.00","        800.00","        796.60","        794.80","    3081521","          2449207466.05","      62114","    1077760","         34.97"
"TECHM","EQ","01-Feb-2020","        796.60","        796.95","        812.00","        765.70","        807.00","        807.55","        792.93","    6476968","          5135770889.55","      92958","    3091832","         47.74"
"TECHM","EQ","03-Feb-2020","        807.55","        808.00","        818.70","        790.50","        793.20","        793.15","        807.99","    3383074","          2733487456.95","      87563","    1386323","         40.98"
"TECHM","EQ","04-Feb-2020","        793.15","        794.30","        813.00","        794.30","        811.00","        811.10","        807.49","    1779834","          1437197155.80","      54008","     868911","         48.82"
"TECHM","EQ","05-Feb-2020","        811.10","        810.00","        816.00","        807.00","        811.95","        814.05","        811.94","    1613898","          1310385938.20","      56554","     809231","         50.14"
"TECHM","EQ","06-Feb-2020","        814.05","        812.70","        825.95","        810.05","        817.00","        817.70","        819.05","    1553656","          1272523744.20","      50057","     652671","         42.01"
"TECHM","EQ","07-Feb-2020","        817.70","        817.70","        825.45","        814.25","        822.65","        824.45","        820.73","    1397438","          1146921010.10","      47565","     826809","         59.17"
"TECHM","EQ","10-Feb-2020","        824.45","        827.00","        827.10","        811.50","        812.50","        813.65","        815.58","    1098971","           896298071.45","      36704","     603430","         54.91"
"TECHM","EQ","11-Feb-2020","        813.65","        813.00","        821.85","        811.05","        821.00","        819.95","        816.48","    1143705","           933817658.10","      39211","     542696","         47.45"
"TECHM","EQ","12-Feb-2020","        819.95","        820.00","        826.45","        816.80","        821.10","        821.50","        822.35","    1394424","          1146700869.60","      45526","     632198","         45.34"
"TECHM","EQ","13-Feb-2020","        821.50","        822.80","        830.00","        814.35","        828.00","        828.00","        820.38","    1737974","          1425807711.55","      60849","    1046146","         60.19"
"TECHM","EQ","14-Feb-2020","        828.00","        827.00","        838.00","        825.05","        833.00","        834.15","        833.86","    2143044","          1786993118.80","      61957","    1068602","         49.86"
"TECHM","EQ","17-Feb-2020","        834.15","        835.95","        837.00","        827.45","        834.20","        833.25","        832.46","     793328","           660416981.05","      23477","     275998","         34.79"
"TECHM","EQ","18-Feb-2020","        833.25","        825.35","        840.00","        825.35","        838.55","        838.80","        835.87","    1507814","          1260330527.15","      47108","     522022","         34.62"
"TECHM","EQ","19-Feb-2020","        838.80","        839.00","        844.85","        836.05","        842.00","        840.90","        840.39","     881874","           741116722.35","      46482","     266928","         30.27"
"TECHM","EQ","20-Feb-2020","        840.90","        840.15","        845.90","        826.95","        827.45","        829.60","        836.04","    1066232","           891413811.30","      52260","     679688","         63.75"
"TECHM","EQ","24-Feb-2020","        829.60","        828.95","        843.90","        815.75","        822.00","        820.10","        832.88","    2917544","          2429960042.40","      70947","    1278624","         43.83"
"TECHM","EQ","25-Feb-2020","        820.10","        822.00","        826.80","        809.05","        824.95","        822.10","        817.14","    2479975","          2026488864.70","      67477","    1383377","         55.78"
"TECHM","EQ","26-Feb-2020","        822.10","        820.00","        825.50","        808.20","        811.00","        811.45","        817.38","    2212784","          1808686905.90","      73034","    1000060","         45.19"
"TECHM","EQ","27-Feb-2020","        811.45","        807.00","        819.70","        800.20","        808.35","        809.15","        807.52","    1907768","          1540558959.05","      68391","    1006626","         52.76"
"TECHM","EQ","28-Feb-2020","        809.15","        789.80","        808.00","        732.05","        746.25","        744.40","        754.08","    5959364","          4493839991.10","     129459","    3274668","         54.95"
"TECHM","EQ","02-Mar-2020","        744.40","        742.00","        754.45","        734.40","        744.40","        744.55","        745.05","    3784522","          2819652716.45","      99512","    2009190","         53.09"
"TECHM","EQ","03-Mar-2020","        744.55","        750.00","        757.65","        742.10","        755.20","        752.30","        749.25","    2168900","          1625039056.60","      53848","    1050811","         48.45"
"TECHM","EQ","04-Mar-2020","        752.30","        754.00","        774.85","        748.00","        770.00","        771.30","        760.28","    2685540","          2041752643.30","      87743","    1221656","         45.49"
"TECHM","EQ","05-Mar-2020","        771.30","        769.95","        784.00","        752.35","        758.15","        756.10","        770.61","    2126955","          1639063056.30","      94840","     922198","         43.36"
"TECHM","EQ","06-Mar-2020","        756.10","        746.10","        749.75","        731.40","        741.20","        740.40","        742.60","    2004893","          1488833609.75","      65797","    1144174","         57.07"
"TECHM","EQ","09-Mar-2020","        740.40","        715.00","        730.00","        696.55","        703.75","        704.80","        708.12","    3429034","          2428157421.05","     122068","    2006302","         58.51"
"TECHM","EQ","11-Mar-2020","        704.80","        681.00","        713.90","        666.00","        710.80","        708.55","        700.07","    4626235","          3238694414.15","     104365","    2344817","         50.69"
"TECHM","EQ","12-Mar-2020","        708.55","        676.00","        690.00","        637.10","        650.00","        649.85","        657.02","    3796969","          2494693877.05","      91235","    1926295","         50.73"
"TECHM","EQ","13-Mar-2020","        649.85","        603.25","        670.00","        525.90","        663.25","        655.95","        628.93","    4553639","          2863925382.80","     115937","    1939223","         42.59"
"TECHM","EQ","16-Mar-2020","        655.95","        634.80","        634.80","        591.00","        609.90","        603.40","        608.99","    6499358","          3958056619.55","     123457","    3924913","         60.39"
"TECHM","EQ","17-Mar-2020","        603.40","        600.00","        617.95","        583.30","        600.00","        595.45","        605.24","    3333751","          2017728863.40","      91710","    1814804","         54.44"
"TECHM","EQ","18-Mar-2020","        595.45","        600.00","        611.25","        570.65","        581.00","        579.65","        591.47","    3548532","          2098833639.55","      85476","    1620301","         45.66"
"TECHM","EQ","19-Mar-2020","        579.65","        549.65","        577.65","        523.00","        538.80","        530.00","        546.39","    4932164","          2694861622.75","     108237","    2456525","         49.81"
"TECHM","EQ","20-Mar-2020","        530.00","        525.10","        595.45","        525.10","        567.00","        576.35","        568.65","    6316078","          3591614181.90","     117417","    3179016","         50.33"
"TECHM","EQ","23-Mar-2020","        576.35","        540.00","        542.00","        471.40","        494.90","        487.20","        516.26","    2912769","          1503732872.85","      82821","    1685882","         57.88"
"TECHM","EQ","24-Mar-2020","        487.20","        487.00","        533.95","        487.00","        498.00","        503.50","        508.37","    4082147","          2075254661.70","     129792","    1995269","         48.88"
"TECHM","EQ","25-Mar-2020","        503.50","        509.00","        542.85","        507.05","        525.00","        526.70","        523.91","    3664272","          1919732607.70","      94678","    2078178","         56.71"
"TECHM","EQ","26-Mar-2020","        526.70","        539.35","        564.90","        513.00","        519.90","        515.20","        526.81","    5979874","          3150274656.50","     115495","    2851224","         47.68"
"TECHM","EQ","27-Mar-2020","        515.20","        525.00","        538.80","        498.00","        500.50","        504.10","        515.34","    4672189","          2407767505.90","      84744","    2186121","         46.79"
"TECHM","EQ","30-Mar-2020","        504.10","        494.00","        532.35","        485.65","        528.00","        526.80","        522.26","    4138338","          2161296123.90","      98545","    1755252","         42.41"
"TECHM","EQ","31-Mar-2020","        526.80","        537.00","        575.25","        527.85","        562.00","        565.50","        549.27","    3652957","          2006445137.15","      77375","    1780536","         48.74"
"TECHM","EQ","01-Apr-2020","        565.50","        560.00","        560.30","        510.00","        512.35","        511.20","        526.83","    4114437","          2167600229.35","      98040","    2046528","         49.74"
"TECHM","EQ","03-Apr-2020","        511.20","        513.75","        533.15","        510.10","        524.00","        520.90","        521.07","    5826215","          3035871695.15","     126608","    2443907","         41.95"
"TECHM","EQ","07-Apr-2020","        520.90","        536.50","        557.65","        535.75","        547.00","        549.85","        545.87","    3532484","          1928267203.30","      87997","    1553610","         43.98"
"TECHM","EQ","08-Apr-2020","        549.85","        539.95","        569.80","        537.00","        555.30","        558.90","        560.61","    4113059","          2305815828.10","      91104","    2261575","         54.99"
"TECHM","EQ","09-Apr-2020","        558.90","        570.00","        582.70","        537.55","        547.00","        545.25","        548.36","    5917546","          3244961398.40","     100004","    2369472","         40.04"
"TECHM","EQ","13-Apr-2020","        545.25","        551.00","        551.00","        521.75","        528.00","        526.85","        528.94","    3822647","          2021961331.65","      77923","    1772504","         46.37"
"TECHM","EQ","15-Apr-2020","        526.85","        528.00","        548.60","        528.00","        536.75","        538.65","        539.17","    6316300","          3405558990.50","     119521","    4025426","         63.73"
"TECHM","EQ","16-Apr-2020","        538.65","        527.00","        530.00","        508.35","        518.25","        517.65","        515.94","    7001494","          3612354270.70","     220623","    3025456","         43.21"
"TECHM","EQ","17-Apr-2020","        517.65","        529.10","        532.00","        500.00","        511.00","        509.85","        508.08","   10839905","          5507505785.90","     220131","    5804693","         53.55"
"TECHM","EQ","20-Apr-2020","        509.85","        517.95","        531.90","        512.00","        524.10","        524.85","        523.98","    4549099","          2383634277.25","      95346","    1887194","         41.49"
"TECHM","EQ","21-Apr-2020","        524.85","        511.00","        520.00","        505.90","        512.15","        512.95","        513.04","    2950307","          1513638756.00","      76480","    1467362","         49.74"
"TECHM","EQ","22-Apr-2020","        512.95","        512.00","        521.90","        507.05","        520.50","        518.30","        517.41","    2268503","          1173747973.05","      61020","    1018198","         44.88"
"TECHM","EQ","23-Apr-2020","        518.30","        519.00","        527.85","        509.30","        522.00","        523.70","        517.69","    6096448","          3156090251.90","     109439","    2428985","         39.84"
"TECHM","EQ","24-Apr-2020","        523.70","        522.00","        532.60","        502.10","        505.00","        503.45","        515.87","    4817932","          2485403149.95","     105289","    2100283","         43.59"
